Player,,Loan: start/end,Age,Nationality,Region Nat,Position,Market value,From Team,From League,From Region,From Country,From Level,To Team,To League,To Region,To Country,To Level,End of Loan Date,Fee,Transfer ID
Konstantinos Mavropanos,Inside,No,25,Greece,Europe,Centre-Back,"15,000,000",VfB Stuttgart,"Bundesliga, German",Top,Germany,First Tier,West Ham,"Premier League, England",Top,England,First Tier,,20000000,1425
Wataru Endo,Inside,No,30,Japan,Asia,Defensive Midfield,"13,000,000",VfB Stuttgart,"Bundesliga, German",Top,Germany,First Tier,Liverpool,"Premier League, England",Top,England,First Tier,,20000000,2591
Matheus França,In,No,19,Brazil,South America,Attacking Midfield,"15,000,000",Flamengo,Campeonato Brasileiro Série A,South America,Brazil,First Tier,Crystal Palace,"Premier League, England",Top,England,First Tier,,20000000,1727
Abakar Sylla,In,No,20,Cote d'Ivoire,Africa,Centre-Back,"8,000,000",Club Brugge,"Jupiler Pro League, Belgium","Europe, ex. Top Leagues",Belgium,First Tier,R. Strasbourg,"Ligue 1, France",Top,France,First Tier,,20000000,6
Bart Verbruggen,In,No,20,Netherlands,Europe,Goalkeeper,"15,000,000",RSC Anderlecht,"Jupiler Pro League, Belgium","Europe, ex. Top Leagues",Belgium,First Tier,Brighton,"Premier League, England",Top,England,First Tier,,20000000,340
Antoine Griezmann,Inside,No,32,France,Europe,Centre-Forward,"25,000,000",Barcelona,"LaLiga, Spain",Top,Spain,First Tier,Atlético Madrid,"LaLiga, Spain",Top,Spain,First Tier,,20000000,260
Samuel Chukwueze,Inside,No,24,Nigeria,Africa,Right Winger,"25,000,000",Villarreal,"LaLiga, Spain",Top,Spain,First Tier,AC Milan,"Serie A, Italy",Top,Italy,First Tier,,20000000,2291
Yunus Musah,Inside,No,20,United States,North America,Central Midfield,"18,000,000",Valencia,"LaLiga, Spain",Top,Spain,First Tier,AC Milan,"Serie A, Italy",Top,Italy,First Tier,,20000000,2666
Enzo Le Fée,Inside,No,23,France,Europe,Attacking Midfield,"20,000,000",FC Lorient,"Ligue 1, France",Top,France,First Tier,Stade Rennais,"Ligue 1, France",Top,France,First Tier,,20000000,727
Christian Pulisic,Inside,No,24,United States,North America,Right Winger,"25,000,000",Chelsea,"Premier League, England",Top,England,First Tier,AC Milan,"Serie A, Italy",Top,Italy,First Tier,,20000000,493
Arthur Cabral,Out,No,25,Brazil,South America,Centre-Forward,"20,000,000",Fiorentina,"Serie A, Italy",Top,Italy,First Tier,Benfica,Liga Portugal,"Europe, ex. Top Leagues",Portugal,First Tier,,20000000,302
Denis Zakaria,Inside,No,26,Switzerland,Europe,Defensive Midfield,"18,000,000",Juventus,"Serie A, Italy",Top,Italy,First Tier,Monaco,"Ligue 1, France",Top,France,First Tier,,20000000,602
Guglielmo Vicario,Inside,No,26,Italy,Europe,Goalkeeper,"20,000,000",FC Empoli,"Serie A, Italy",Top,Italy,First Tier,Tottenham,"Premier League, England",Top,England,First Tier,,20000000,947
Merih Demiral,Out,No,25,Turkey,Europe,Centre-Back,"20,000,000",Atalanta BC,"Serie A, Italy",Top,Italy,First Tier,Al-Ahli,Saudi Pro League,Asia,Saudi Arabia,First Tier,,20000000,1815
Andrea Pinamonti,Inside,No,24,Italy,Europe,Centre-Forward,"15,000,000",Inter,"Serie A, Italy",Top,Italy,First Tier,Sassuolo,"Serie A, Italy",Top,Italy,First Tier,,20000000,197
Arda Güler,In,No,18,Turkey,Europe,Attacking Midfield,"15,000,000",Fenerbahce,"Süper Lig, Turkey","Europe, ex. Top Leagues",Turkey,First Tier,Real Madrid,"LaLiga, Spain",Top,Spain,First Tier,,20000000,281
Victor Boniface,In,No,22,Nigeria,Africa,Centre-Forward,"12,000,000",Union SG,"Jupiler Pro League, Belgium","Europe, ex. Top Leagues",Belgium,First Tier,B. Leverkusen,"Bundesliga, German",Top,Germany,First Tier,,20500000,2569
Bono,Out,No,32,Morocco,Africa,Goalkeeper,"12,000,000",Sevilla FC,"LaLiga, Spain",Top,Spain,First Tier,Al-Hilal,Saudi Pro League,Asia,Saudi Arabia,First Tier,,21000000,382
Cameron Archer,Inside,No,21,England,Europe,Centre-Forward,"18,000,000",Aston Villa,"Premier League, England",Top,England,First Tier,Sheff Utd,"Premier League, England",Top,England,First Tier,,21550000,436
Kang-in Lee,Inside,No,22,"Korea, South",Asia,Attacking Midfield,"22,000,000",RCD Mallorca,"LaLiga, Spain",Top,Spain,First Tier,Paris SG,"Ligue 1, France",Top,France,First Tier,,22000000,1357
Luiz Felipe,Out,No,26,Italy,Europe,Centre-Back,"15,000,000",Real Betis,"LaLiga, Spain",Top,Spain,First Tier,Al-Ittihad Club,Saudi Pro League,Asia,Saudi Arabia,First Tier,,22000000,1565
Calvin Bassey,In,No,23,Nigeria,Africa,Centre-Back,"15,000,000",Ajax,"Eredivisie, Netherlands","Europe, ex. Top Leagues",Netherlands,First Tier,Fulham,"Premier League, England",Top,England,First Tier,,22500000,431
Terem Moffi,Inside,No,24,Nigeria,Africa,Centre-Forward,"20,000,000",FC Lorient,"Ligue 1, France",Top,France,First Tier,OGC Nice,"Ligue 1, France",Top,France,First Tier,,22500000,2444
Alex Scott,In,No,19,England,Europe,Central Midfield,"20,000,000",Bristol City,"Championship, England","Europe, ex. Top Leagues",England,Second Tier,Bournemouth,"Premier League, England",Top,England,First Tier,,23000000,115
